n_swarms,n_peaks,changes,run,change_freq
20,30,100,18,2500
20,30,100,18,5000
20,30,100,18,7500
20,30,100,18,10000
20,30,100,19,2500
20,30,100,19,5000
20,30,100,19,7500
20,30,100,19,10000
20,30,100,20,2500
20,30,100,20,5000
20,30,100,20,7500
20,30,100,20,10000
20,30,100,21,2500
20,30,100,21,5000
20,30,100,21,7500
20,30,100,21,10000
20,30,100,22,2500
20,30,100,22,5000
20,30,100,22,7500
20,30,100,22,10000
20,30,100,23,2500
20,30,100,23,5000
20,30,100,23,7500
20,30,100,23,10000
20,30,100,24,2500
20,30,100,24,5000
20,30,100,24,7500
20,30,100,24,10000
20,30,100,25,2500
20,30,100,25,5000
20,30,100,25,7500
20,30,100,25,10000
20,30,100,26,2500
20,30,100,26,5000
20,30,100,26,7500
20,30,100,26,10000
20,30,100,27,2500
20,30,100,27,5000
20,30,100,27,7500
20,30,100,27,10000
20,30,100,28,2500
20,30,100,28,5000
20,30,100,28,7500
20,30,100,28,10000
20,30,100,29,2500
20,30,100,29,5000
20,30,100,29,7500
20,30,100,29,10000
20,30,100,30,2500
20,30,100,30,5000
20,30,100,30,7500
20,30,100,30,10000
20,40,100,1,2500
20,40,100,1,5000
20,40,100,1,7500
20,40,100,1,10000
20,40,100,2,2500
20,40,100,2,5000
20,40,100,2,7500
20,40,100,2,10000
20,40,100,3,2500
20,40,100,3,5000
20,40,100,3,7500
20,40,100,3,10000
20,40,100,4,2500
20,40,100,4,5000
20,40,100,4,7500
20,40,100,4,10000
20,40,100,5,2500
20,40,100,5,5000
20,40,100,5,7500
20,40,100,5,10000
20,40,100,6,2500
20,40,100,6,5000
20,40,100,6,7500
20,40,100,6,10000
20,40,100,7,2500
20,40,100,7,5000
20,40,100,7,7500
20,40,100,7,10000
20,40,100,8,2500
20,40,100,8,5000
20,40,100,8,7500
20,40,100,8,10000
20,40,100,9,2500
20,40,100,9,5000
20,40,100,9,7500
20,40,100,9,10000
20,40,100,10,2500
20,40,100,10,5000
20,40,100,10,7500
20,40,100,10,10000
20,40,100,11,2500
20,40,100,11,5000
20,40,100,11,7500
20,40,100,11,10000
20,40,100,12,2500
20,40,100,12,5000
20,40,100,12,7500
20,40,100,12,10000
20,40,100,13,2500
20,40,100,13,5000
20,40,100,13,7500
20,40,100,13,10000
20,40,100,14,2500
20,40,100,14,5000
20,40,100,14,7500
20,40,100,14,10000
20,40,100,15,2500
20,40,100,15,5000
20,40,100,15,7500
20,40,100,15,10000
20,40,100,16,2500
20,40,100,16,5000
20,40,100,16,7500
20,40,100,16,10000
20,40,100,17,2500
20,40,100,17,5000
20,40,100,17,7500
20,40,100,17,10000
20,40,100,18,2500
20,40,100,18,5000
20,40,100,18,7500
20,40,100,18,10000
20,40,100,19,2500
20,40,100,19,5000
20,40,100,19,7500
20,40,100,19,10000
20,40,100,20,2500
20,40,100,20,5000
20,40,100,20,7500
20,40,100,20,10000
20,40,100,21,2500
20,40,100,21,5000
20,40,100,21,7500
20,40,100,21,10000
20,40,100,22,2500
20,40,100,22,5000
20,40,100,22,7500
20,40,100,22,10000
20,40,100,23,2500
20,40,100,23,5000
20,40,100,23,7500
20,40,100,23,10000
20,40,100,24,2500
20,40,100,24,5000
20,40,100,24,7500
20,40,100,24,10000
20,40,100,25,2500
20,40,100,25,5000
20,40,100,25,7500
20,40,100,25,10000
20,40,100,26,2500
20,40,100,26,5000
20,40,100,26,7500
20,40,100,26,10000
20,40,100,27,2500
20,40,100,27,5000
20,40,100,27,7500
20,40,100,27,10000
20,40,100,28,2500
20,40,100,28,5000
20,40,100,28,7500
20,40,100,28,10000
20,40,100,29,2500
20,40,100,29,5000
20,40,100,29,7500
20,40,100,29,10000
20,40,100,30,2500
20,40,100,30,5000
20,40,100,30,7500
20,40,100,30,10000
30,10,100,1,2500
30,10,100,1,5000
30,10,100,1,7500
30,10,100,1,10000
30,10,100,2,2500
30,10,100,2,5000
30,10,100,2,7500
30,10,100,2,10000
30,10,100,3,2500
30,10,100,3,5000
30,10,100,3,7500
30,10,100,3,10000
30,10,100,4,2500
30,10,100,4,5000
30,10,100,4,7500
30,10,100,4,10000
30,10,100,5,2500
30,10,100,5,5000
30,10,100,5,7500
30,10,100,5,10000
30,10,100,6,2500
30,10,100,6,5000
30,10,100,6,7500
30,10,100,6,10000
30,10,100,7,2500
30,10,100,7,5000
30,10,100,7,7500
30,10,100,7,10000
30,10,100,8,2500
30,10,100,8,5000
30,10,100,8,7500
30,10,100,8,10000
30,10,100,9,2500
30,10,100,9,5000
30,10,100,9,7500
30,10,100,9,10000
30,10,100,10,2500
30,10,100,10,5000
30,10,100,10,7500
30,10,100,10,10000
30,10,100,11,2500
30,10,100,11,5000
30,10,100,11,7500
30,10,100,11,10000
30,10,100,12,2500
30,10,100,12,5000
30,10,100,12,7500
30,10,100,12,10000
30,10,100,13,2500
30,10,100,13,5000
30,10,100,13,7500
30,10,100,13,10000
30,10,100,14,2500
30,10,100,14,5000
30,10,100,14,7500
30,10,100,14,10000
30,10,100,15,2500
30,10,100,15,5000
30,10,100,15,7500
30,10,100,15,10000
30,10,100,16,2500
30,10,100,16,5000
30,10,100,16,7500
30,10,100,16,10000
30,10,100,17,2500
30,10,100,17,5000
30,10,100,17,7500
30,10,100,17,10000
30,10,100,18,2500
30,10,100,18,5000
30,10,100,18,7500
30,10,100,18,10000
30,10,100,19,2500
30,10,100,19,5000
30,10,100,19,7500
30,10,100,19,10000
30,10,100,20,2500
30,10,100,20,5000
30,10,100,20,7500
30,10,100,20,10000
30,10,100,21,2500
30,10,100,21,5000
30,10,100,21,7500
30,10,100,21,10000
30,10,100,22,2500
30,10,100,22,5000
30,10,100,22,7500
30,10,100,22,10000
30,10,100,23,2500
30,10,100,23,5000
30,10,100,23,7500
30,10,100,23,10000
30,10,100,24,2500
30,10,100,24,5000
30,10,100,24,7500
30,10,100,24,10000
30,10,100,25,2500
30,10,100,25,5000
30,10,100,25,7500
30,10,100,25,10000
30,10,100,26,2500
30,10,100,26,5000
30,10,100,26,7500
30,10,100,26,10000
30,10,100,27,2500
30,10,100,27,5000
30,10,100,27,7500
30,10,100,27,10000
30,10,100,28,2500
30,10,100,28,5000
30,10,100,28,7500
30,10,100,28,10000
30,10,100,29,2500
30,10,100,29,5000
30,10,100,29,7500
30,10,100,29,10000
30,10,100,30,2500
30,10,100,30,5000
30,10,100,30,7500
30,10,100,30,10000
30,20,100,1,2500
30,20,100,1,5000
30,20,100,1,7500
30,20,100,1,10000
30,20,100,2,2500
30,20,100,2,5000
30,20,100,2,7500
30,20,100,2,10000
30,20,100,3,2500
30,20,100,3,5000
30,20,100,3,7500
30,20,100,3,10000
30,20,100,4,2500
30,20,100,4,5000
30,20,100,4,7500
30,20,100,4,10000
30,20,100,5,2500
30,20,100,5,5000
30,20,100,5,7500
30,20,100,5,10000
30,20,100,6,2500
30,20,100,6,5000
30,20,100,6,7500
30,20,100,6,10000
30,20,100,7,2500
30,20,100,7,5000
30,20,100,7,7500
30,20,100,7,10000
30,20,100,8,2500
30,20,100,8,5000
30,20,100,8,7500
30,20,100,8,10000
30,20,100,9,2500
30,20,100,9,5000
30,20,100,9,7500
30,20,100,9,10000
30,20,100,10,2500
30,20,100,10,5000
30,20,100,10,7500
30,20,100,10,10000
30,20,100,11,2500
30,20,100,11,5000
30,20,100,11,7500
30,20,100,11,10000
30,20,100,12,2500
30,20,100,12,5000
30,20,100,12,7500
30,20,100,12,10000
30,20,100,13,2500
30,20,100,13,5000
30,20,100,13,7500
30,20,100,13,10000
30,20,100,14,2500
30,20,100,14,5000
30,20,100,14,7500
30,20,100,14,10000
30,20,100,15,2500
30,20,100,15,5000
30,20,100,15,7500
30,20,100,15,10000
30,20,100,16,2500
30,20,100,16,5000
30,20,100,16,7500
30,20,100,16,10000
30,20,100,17,2500
30,20,100,17,5000
30,20,100,17,7500
30,20,100,17,10000
30,20,100,18,2500
30,20,100,18,5000
30,20,100,18,7500
30,20,100,18,10000
30,20,100,19,2500
30,20,100,19,5000
30,20,100,19,7500
30,20,100,19,10000
30,20,100,20,2500
30,20,100,20,5000
30,20,100,20,7500
30,20,100,20,10000
30,20,100,21,2500
30,20,100,21,5000
30,20,100,21,7500
30,20,100,21,10000
30,20,100,22,2500
30,20,100,22,5000
30,20,100,22,7500
30,20,100,22,10000
30,20,100,23,2500
30,20,100,23,5000
30,20,100,23,7500
30,20,100,23,10000
30,20,100,24,2500
30,20,100,24,5000
30,20,100,24,7500
30,20,100,24,10000
30,20,100,25,2500
30,20,100,25,5000
30,20,100,25,7500
30,20,100,25,10000
30,20,100,26,2500
30,20,100,26,5000
30,20,100,26,7500
30,20,100,26,10000
30,20,100,27,2500
30,20,100,27,5000
30,20,100,27,7500
30,20,100,27,10000
30,20,100,28,2500
30,20,100,28,5000
30,20,100,28,7500
30,20,100,28,10000
30,20,100,29,2500
30,20,100,29,5000
30,20,100,29,7500
30,20,100,29,10000
30,20,100,30,2500
30,20,100,30,5000
30,20,100,30,7500
30,20,100,30,10000
30,30,100,1,2500
30,30,100,1,5000
30,30,100,1,7500
30,30,100,1,10000
30,30,100,2,2500
30,30,100,2,5000
30,30,100,2,7500
30,30,100,2,10000
30,30,100,3,2500
30,30,100,3,5000
30,30,100,3,7500
30,30,100,3,10000
30,30,100,4,2500
30,30,100,4,5000
30,30,100,4,7500
30,30,100,4,10000
30,30,100,5,2500
30,30,100,5,5000
30,30,100,5,7500
30,30,100,5,10000
30,30,100,6,2500
30,30,100,6,5000
30,30,100,6,7500
30,30,100,6,10000
30,30,100,7,2500
30,30,100,7,5000
30,30,100,7,7500
30,30,100,7,10000
30,30,100,8,2500
30,30,100,8,5000
30,30,100,8,7500
30,30,100,8,10000
30,30,100,9,2500
30,30,100,9,5000
30,30,100,9,7500
30,30,100,9,10000
30,30,100,10,2500
30,30,100,10,5000
30,30,100,10,7500
30,30,100,10,10000
30,30,100,11,2500
30,30,100,11,5000
30,30,100,11,7500
30,30,100,11,10000
30,30,100,12,2500
30,30,100,12,5000
30,30,100,12,7500
30,30,100,12,10000
30,30,100,13,2500
30,30,100,13,5000
30,30,100,13,7500
30,30,100,13,10000
30,30,100,14,2500
30,30,100,14,5000
30,30,100,14,7500
30,30,100,14,10000
30,30,100,15,2500
30,30,100,15,5000
30,30,100,15,7500
30,30,100,15,10000
30,30,100,16,2500
30,30,100,16,5000
30,30,100,16,7500
30,30,100,16,10000
30,30,100,17,2500
30,30,100,17,5000
30,30,100,17,7500
30,30,100,17,10000
30,30,100,18,2500
30,30,100,18,5000
30,30,100,18,7500
30,30,100,18,10000
30,30,100,19,2500
30,30,100,19,5000
30,30,100,19,7500
30,30,100,19,10000
30,30,100,20,2500
30,30,100,20,5000
30,30,100,20,7500
30,30,100,20,10000
30,30,100,21,2500
30,30,100,21,5000
30,30,100,21,7500
30,30,100,21,10000
30,30,100,22,2500
30,30,100,22,5000
30,30,100,22,7500
30,30,100,22,10000
30,30,100,23,2500
30,30,100,23,5000
30,30,100,23,7500
30,30,100,23,10000
30,30,100,24,2500
30,30,100,24,5000
30,30,100,24,7500
30,30,100,24,10000
30,30,100,25,2500
30,30,100,25,5000
30,30,100,25,7500
30,30,100,25,10000
30,30,100,26,2500
30,30,100,26,5000
30,30,100,26,7500
30,30,100,26,10000
30,30,100,27,2500
30,30,100,27,5000
30,30,100,27,7500
30,30,100,27,10000
30,30,100,28,2500
30,30,100,28,5000
30,30,100,28,7500
30,30,100,28,10000
30,30,100,29,2500
30,30,100,29,5000
30,30,100,29,7500
30,30,100,29,10000
30,30,100,30,2500
30,30,100,30,5000
30,30,100,30,7500
30,30,100,30,10000
30,40,100,1,2500
30,40,100,1,5000
30,40,100,1,7500
30,40,100,1,10000
30,40,100,2,2500
30,40,100,2,5000
30,40,100,2,7500
30,40,100,2,10000
30,40,100,3,2500
30,40,100,3,5000
30,40,100,3,7500
30,40,100,3,10000
30,40,100,4,2500
30,40,100,4,5000
30,40,100,4,7500
30,40,100,4,10000
30,40,100,5,2500
30,40,100,5,5000
30,40,100,5,7500
30,40,100,5,10000
30,40,100,6,2500
30,40,100,6,5000
30,40,100,6,7500
30,40,100,6,10000
30,40,100,7,2500
30,40,100,7,5000
30,40,100,7,7500
30,40,100,7,10000
30,40,100,8,2500
30,40,100,8,5000
30,40,100,8,7500
30,40,100,8,10000
30,40,100,9,2500
30,40,100,9,5000
30,40,100,9,7500
30,40,100,9,10000
30,40,100,10,2500
30,40,100,10,5000
30,40,100,10,7500
30,40,100,10,10000
30,40,100,11,2500
30,40,100,11,5000
30,40,100,11,7500
30,40,100,11,10000
30,40,100,12,2500
30,40,100,12,5000
30,40,100,12,7500
30,40,100,12,10000
30,40,100,13,2500
30,40,100,13,5000
30,40,100,13,7500
30,40,100,13,10000
30,40,100,14,2500
30,40,100,14,5000
30,40,100,14,7500
30,40,100,14,10000
30,40,100,15,2500
30,40,100,15,5000
30,40,100,15,7500
30,40,100,15,10000
30,40,100,16,2500
30,40,100,16,5000
30,40,100,16,7500
30,40,100,16,10000
30,40,100,17,2500
30,40,100,17,5000
30,40,100,17,7500
30,40,100,17,10000
30,40,100,18,2500
30,40,100,18,5000
30,40,100,18,7500
30,40,100,18,10000
30,40,100,19,2500
30,40,100,19,5000
30,40,100,19,7500
30,40,100,19,10000
30,40,100,20,2500
30,40,100,20,5000
30,40,100,20,7500
30,40,100,20,10000
30,40,100,21,2500
30,40,100,21,5000
30,40,100,21,7500
30,40,100,21,10000
30,40,100,22,2500
30,40,100,22,5000
30,40,100,22,7500
30,40,100,22,10000
30,40,100,23,2500
30,40,100,23,5000
30,40,100,23,7500
30,40,100,23,10000
30,40,100,24,2500
30,40,100,24,5000
30,40,100,24,7500
30,40,100,24,10000
30,40,100,25,2500
30,40,100,25,5000
30,40,100,25,7500
30,40,100,25,10000
30,40,100,26,2500
30,40,100,26,5000
30,40,100,26,7500
30,40,100,26,10000
30,40,100,27,2500
30,40,100,27,5000
30,40,100,27,7500
30,40,100,27,10000
30,40,100,28,2500
30,40,100,28,5000
30,40,100,28,7500
30,40,100,28,10000
30,40,100,29,2500
30,40,100,29,5000
30,40,100,29,7500
30,40,100,29,10000
30,40,100,30,2500
30,40,100,30,5000
30,40,100,30,7500
30,40,100,30,10000
